TICK=00000 MPC=001 FETCH            PC=0x00000004 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000000 header=0x00000202
TICK=00001 MPC=002 DECODE           PC=0x0000000C SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV SP, #32768 ; super=blocked:control-or-io
TICK=00002 MPC=003 EXEC_MOVE        PC=0x0000000C SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV SP, #32768
TICK=00003 MPC=004 FETCH            PC=0x00000010 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000000C header=0x00000202
TICK=00004 MPC=005 DECODE           PC=0x00000018 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV R0, #512 ; super=blocked:next-not-eligible
TICK=00005 MPC=006 EXEC_MOVE        PC=0x00000018 SP=0x00008000 FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV R0, #512
TICK=00006 MPC=007 FETCH            PC=0x0000001C SP=0x00008000 FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000018 header=0x00000112
TICK=00007 MPC=008 DECODE           PC=0x00000020 SP=0x00008000 FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: CALL #36 ; super=blocked:control-or-io
TICK=00008 MPC=009 EXEC_CALL        PC=0x00000024 SP=0x00007FFC FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: CALL #36
TICK=00009 MPC=010 FETCH            PC=0x00000028 SP=0x00007FFC FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000024 header=0x00000110
TICK=00010 MPC=011 DECODE           PC=0x0000002C SP=0x00007FFC FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: PUSH R1 ; super=blocked:control-or-io
TICK=00011 MPC=012 EXEC_STACK_WRITE PC=0x0000002C SP=0x00007FF8 FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: PUSH R1
TICK=00012 MPC=013 FETCH            PC=0x00000030 SP=0x00007FF8 FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000002C header=0x00000214
TICK=00013 MPC=014 DECODE           PC=0x00000038 SP=0x00007FF8 FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0] ; super=blocked:control-or-io
TICK=00014 MPC=015 EXEC_LOAD_BYTE   PC=0x00000038 SP=0x00007FF8 FLAGS=-   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0]
TICK=00015 MPC=016 FETCH            PC=0x0000003C SP=0x00007FF8 FLAGS=-   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000038 header=0x00000208
TICK=00016 MPC=017 DECODE           PC=0x00000044 SP=0x00007FF8 FLAGS=-   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
TICK=00017 MPC=018 EXEC_COMPARE     PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00018 MPC=019 FETCH            PC=0x00000048 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000044 header=0x0000010A
TICK=00019 MPC=020 DECODE           PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: JZ #108 ; super=blocked:control-or-io
TICK=00020 MPC=021 EXEC_BRANCH      PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: JZ #108
TICK=00021 MPC=022 FETCH            PC=0x00000050 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000004C header=0x00000215
TICK=00022 MPC=023 DECODE           PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1 ; super=blocked:control-or-io
TICK=00023 MPC=024 EXEC_STORE_BYTE  PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1
TICK=00024 MPC=025 FETCH            PC=0x0000005C SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000058 header=0x00000203
TICK=00025 MPC=026 DECODE           PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1 ; super=blocked:next-not-eligible
TICK=00026 MPC=027 EXEC_ALU_ADD     PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1
TICK=00027 MPC=028 FETCH            PC=0x00000068 SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000064 header=0x00000109
TICK=00028 MPC=029 DECODE           PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: JMP #44 ; super=blocked:control-or-io
TICK=00029 MPC=030 EXEC_BRANCH      PC=0x0000002C SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: JMP #44
TICK=00030 MPC=031 FETCH            PC=0x00000030 SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000002C header=0x00000214
TICK=00031 MPC=032 DECODE           PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0] ; super=blocked:control-or-io
TICK=00032 MPC=033 EXEC_LOAD_BYTE   PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0]
