TICK=00000 MPC=001 FETCH            PC=0x00000004 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000000 header=0x00000202
TICK=00001 MPC=002 DECODE           PC=0x0000000C SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV SP, #32768 ; super=blocked:control-or-io
TICK=00002 MPC=003 EXEC_MOVE        PC=0x0000000C SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV SP, #32768
TICK=00003 MPC=004 FETCH            PC=0x00000010 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000000C header=0x00000112
TICK=00004 MPC=005 DECODE           PC=0x00000014 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: CALL #204 ; super=blocked:control-or-io
TICK=00005 MPC=006 EXEC_CALL        PC=0x000000CC SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: CALL #204
TICK=00006 MPC=007 FETCH            PC=0x000000D0 SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000CC header=0x00000202
TICK=00007 MPC=008 DECODE           PC=0x000000D8 SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV R0, #0 ; super=blocked:next-not-eligible
TICK=00008 MPC=009 EXEC_MOVE        PC=0x000000D8 SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV R0, #0
TICK=00009 MPC=010 FETCH            PC=0x000000DC SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000D8 header=0x00000214
TICK=00010 MPC=011 DECODE           PC=0x000000E4 SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF0] ; super=blocked:control-or-io
TICK=00011 MPC=012 EXEC_LOAD_BYTE   PC=0x000000E4 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF0]
TICK=00012 MPC=013 FETCH            PC=0x000000E8 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000E4 header=0x00000208
TICK=00013 MPC=014 DECODE           PC=0x000000F0 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
TICK=00014 MPC=015 EXEC_COMPARE     PC=0x000000F0 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00015 MPC=016 FETCH            PC=0x000000F4 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000F0 header=0x0000010A
TICK=00016 MPC=017 DECODE           PC=0x000000F8 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: JZ #344 ; super=blocked:control-or-io
TICK=00017 MPC=018 EXEC_BRANCH      PC=0x000000F8 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: JZ #344
TICK=00018 MPC=019 FETCH            PC=0x000000FC SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000F8 header=0x00000214
TICK=00019 MPC=020 DECODE           PC=0x00000104 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF4] ; super=blocked:control-or-io
TICK=00020 MPC=021 EXEC_LOAD_BYTE   PC=0x00000104 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF4]
TICK=00021 MPC=022 FETCH            PC=0x00000108 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000104 header=0x00000208
TICK=00022 MPC=023 DECODE           PC=0x00000110 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #10 ; super=blocked:control-or-io
TICK=00023 MPC=024 EXEC_COMPARE     PC=0x00000110 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #10
TICK=00024 MPC=025 FETCH            PC=0x00000114 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000110 header=0x0000010A
TICK=00025 MPC=026 DECODE           PC=0x00000118 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: JZ #344 ; super=blocked:control-or-io
TICK=00026 MPC=027 EXEC_BRANCH      PC=0x00000118 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: JZ #344
TICK=00027 MPC=028 FETCH            PC=0x0000011C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000118 header=0x00000208
TICK=00028 MPC=029 DECODE           PC=0x00000124 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #13 ; super=blocked:control-or-io
TICK=00029 MPC=030 EXEC_COMPARE     PC=0x00000124 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #13
TICK=00030 MPC=031 FETCH            PC=0x00000128 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000124 header=0x0000010A
TICK=00031 MPC=032 DECODE           PC=0x0000012C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: JZ #344 ; super=blocked:control-or-io
TICK=00032 MPC=033 EXEC_BRANCH      PC=0x0000012C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: JZ #344
