TICK=00000 MPC=001 FETCH_HEADER     PC=0x00000004 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000000 header=0x00000202 operands=2
TICK=00001 MPC=002 FETCH_OPERAND    PC=0x00000008 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000800
TICK=00002 MPC=003 FETCH_OPERAND    PC=0x0000000C SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00800001
TICK=00003 MPC=004 DECODE           PC=0x0000000C SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV SP, #32768 ; super=blocked:control-or-io
TICK=00004 MPC=005 READ_SOURCE      PC=0x0000000C SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: READ_SOURCE: MOV SP, #32768
TICK=00005 MPC=006 WRITE_DESTINATION PC=0x0000000C SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: WRITE_DESTINATION: MOV SP, #32768
TICK=00006 MPC=007 COMMIT           PC=0x0000000C SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV SP, #32768
TICK=00007 MPC=008 FETCH_HEADER     PC=0x00000010 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000000C header=0x00000112 operands=1
TICK=00008 MPC=009 FETCH_OPERAND    PC=0x00000014 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x0000CC01
TICK=00009 MPC=010 DECODE           PC=0x00000014 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: CALL #204 ; super=blocked:control-or-io
TICK=00010 MPC=011 READ_TARGET      PC=0x00000014 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: CALL #204
TICK=00011 MPC=012 STACK_DEC        PC=0x00000014 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: STACK_DEC: CALL #204
TICK=00012 MPC=013 MEM_WRITE_RETURN PC=0x00000014 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MEM_WRITE_RETURN: CALL #204
TICK=00013 MPC=014 SET_PC           PC=0x00000014 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: SET_PC: CALL #204
TICK=00014 MPC=015 COMMIT           PC=0x000000CC SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: CALL #204
TICK=00015 MPC=016 FETCH_HEADER     PC=0x000000D0 SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000CC header=0x00000202 operands=2
TICK=00016 MPC=017 FETCH_OPERAND    PC=0x000000D4 SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000000
TICK=00017 MPC=018 FETCH_OPERAND    PC=0x000000D8 SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000001
