TICK=00000 MPC=001 FETCH_HEADER     PC=0x00000004 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000000 header=0x00000202 operands=2
TICK=00001 MPC=002 FETCH_OPERAND    PC=0x00000008 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000800
TICK=00002 MPC=003 FETCH_OPERAND    PC=0x0000000C SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00800001
TICK=00003 MPC=004 DECODE           PC=0x0000000C SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV SP, #32768 ; super=blocked:control-or-io
TICK=00004 MPC=005 READ_SOURCE      PC=0x0000000C SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: READ_SOURCE: MOV SP, #32768
TICK=00005 MPC=006 WRITE_DESTINATION PC=0x0000000C SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: WRITE_DESTINATION: MOV SP, #32768
TICK=00006 MPC=007 COMMIT           PC=0x0000000C SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV SP, #32768
TICK=00007 MPC=008 FETCH_HEADER     PC=0x00000010 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000000C header=0x00000202 operands=2
TICK=00008 MPC=009 FETCH_OPERAND    PC=0x00000014 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000000
TICK=00009 MPC=010 FETCH_OPERAND    PC=0x00000018 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00020001
TICK=00010 MPC=011 DECODE           PC=0x00000018 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV R0, #512 ; super=blocked:next-not-eligible
TICK=00011 MPC=012 READ_SOURCE      PC=0x00000018 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: READ_SOURCE: MOV R0, #512
TICK=00012 MPC=013 WRITE_DESTINATION PC=0x00000018 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: WRITE_DESTINATION: MOV R0, #512
TICK=00013 MPC=014 COMMIT           PC=0x00000018 SP=0x00008000 FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV R0, #512
TICK=00014 MPC=015 FETCH_HEADER     PC=0x0000001C SP=0x00008000 FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000018 header=0x00000112 operands=1
TICK=00015 MPC=016 FETCH_OPERAND    PC=0x00000020 SP=0x00008000 FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00002401
TICK=00016 MPC=017 DECODE           PC=0x00000020 SP=0x00008000 FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: CALL #36 ; super=blocked:control-or-io
TICK=00017 MPC=018 READ_TARGET      PC=0x00000020 SP=0x00008000 FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: CALL #36
